Date,open,close,high,low,volume,money,range
2017-04-20,8.34,8.36,8.38,8.33,46700866.0,390063543.84,0.24
2017-04-21,8.36,8.41,8.42,8.34,34725324.0,291126076.24,0.6
2017-04-24,8.41,8.37,8.42,8.33,42151181.0,352926394.67,-0.48
2017-04-25,8.37,8.43,8.44,8.37,40330450.0,339230143.97,0.72
2017-04-26,8.43,8.42,8.44,8.4,40780109.0,343316092.51,-0.12
2017-04-27,8.41,8.41,8.42,8.35,41339873.0,346186989.88,0.0
2017-04-28,8.4,8.42,8.42,8.36,30567588.0,256106698.72,0.24
2017-05-02,8.4,8.38,8.4,8.34,33190569.0,277665881.67,-0.24
2017-05-03,8.36,8.35,8.37,8.33,29912840.0,249660877.22,-0.12
2017-05-04,8.33,8.19,8.33,8.17,74327516.0,613783434.31,-1.68
2017-05-05,8.19,8.09,8.21,8.04,66557070.0,539541739.86,-1.22
2017-05-08,8.06,8.03,8.08,8.0,49097632.0,394424117.19,-0.37
2017-05-09,8.02,8.1,8.1,8.01,34595805.0,279119676.49,1.0
2017-05-10,8.09,8.12,8.25,8.08,61154913.0,498675307.83,0.37
2017-05-11,8.11,8.15,8.17,8.06,53745379.0,436444282.31,0.49
2017-05-12,8.13,8.34,8.34,8.1,97959259.0,809131900.14,2.58
2017-05-15,8.33,8.3,8.39,8.26,57259940.0,476417671.72,-0.36
2017-05-16,8.28,8.28,8.29,8.18,56010769.0,461069300.97,0.0
2017-05-17,8.26,8.22,8.26,8.2,44535446.0,365987542.61,-0.48
2017-05-18,8.17,8.18,8.22,8.16,24266685.0,198765579.76,0.12
2017-05-19,8.19,8.14,8.21,8.13,31402562.0,256396867.64,-0.61
2017-05-22,8.13,8.13,8.18,8.07,72471026.0,588546725.07,0.0
2017-05-23,8.12,8.24,8.28,8.1,85374793.0,702123772.98,1.48
2017-05-24,8.23,8.26,8.27,8.13,56811583.0,466560635.92,0.36
2017-05-25,8.24,8.53,8.57,8.23,173040007.0,1462763018.52,3.52
2017-05-26,8.51,8.53,8.56,8.47,95547282.0,813387170.15,0.24
2017-05-31,8.53,8.62,8.65,8.49,110257174.0,948741889.7,1.06
2017-06-01,8.62,8.61,8.65,8.55,60419134.0,519544675.84,-0.12
